industry,company_code,company_name,company_total_salary,company_employee_count,company_110average_salary,company_109average_salary,company_110median_salary,company_109median_salary,company_eps,industry_average_salary,industry_average_eps,is_under_50w,high_eps_low_salary,growth_but_low_salary,low_salary_reason
食品工業,4205,中華食,165158000,256,645000,644000,623000,626000,3.76,672000,3.08,,V,,一、地域性差異：北部消費水準、薪酬皆較高，參酌南部產業薪資水準制定薪資辦法。二、產業特性：作業員工作性質簡單、輕體力無技術層次，薪資較低而降低整體平均數。與高屏地區傳統產業相較，薪資水準尚屬合理。
食品工業,4207,環泰,118195000,180,657000,637000,608000,607000,2.25,672000,3.08,,,,
塑膠工業,4303,信立,41082000,87,472000,433000,431000,387000,1.96,432000,-0.72,V,,,本公司薪資結構以學歷、機台為主、並依績效獎金辦法計算有效率及貢獻所應核發之獎金。公司經營績效透過績效獎金辦法與員工薪酬相聯結，係屬合理，理財商品之利潤透過員工薪酬制度與員工分享。
塑膠工業,4304,勝昱,28289000,68,416000,488000,405000,463000,4.22,432000,-0.72,V,V,V,1.工廠直接生產人員佔五成以上，且位於嘉義縣境，薪資較都會區低，外籍員工占總人數12%。2.當年任職給薪未滿六個月之員工人數較前一年度增加。3.EPS較前一年度成長，但本公司仍處於累積虧損。
塑膠工業,4305,世坤,64597000,99,652000,671000,574000,572000,2.03,432000,-0.72,,,,
紡織纖維,4401,東隆興,338933000,470,721000,599000,616000,516000,2.64,657000,1.07,,,,
紡織纖維,4402,福大,7945000,16,497000,470000,470000,439000,-0.86,657000,1.07,V,,,"110年度虧損為-39,349(仟元），且受新冠疫情影響，導致營收持續低迷，故薪資水準低於同業。"
紡織纖維,4406,新昕纖,53638000,118,455000,404000,375000,356000,0.33,657000,1.07,V,,,"本公司110年度營業額較109年度增加;110年度獲利也較109年度增加,產量隨之增加,以致主要生產之直接人工薪資較109年度上升,故非主管薪資和公司經營績效與員工薪酬之關聯性係為合理,特此說明。"
紡織纖維,4413,飛寶企業,23748000,46,516000,497000,460000,441000,0.2,657000,1.07,,,,
建材營造,4416,三圓,12284000,7,1755000,996000,1593000,954000,17.34,904000,2.05,,,,
紡織纖維,4417,金洲,107613000,173,622000,611000,520000,514000,3.12,657000,1.07,,V,,"本公司110年度EPS雖高於同業平均而非經理人全時員工薪資平均數低於同業水準,但110年度EPS低於109年度EPS,而110年度非經理人全時員工薪資平均數高於109年度,說明本公司有致力於提升員工薪資水準"
紡織纖維,4419,元勝,774000,2,387000,409000,387000,409000,-0.6,657000,1.07,V,,V,"公司目前正處於營運策略調整期,營收及經營績效尚不佳,非擔任主管職務之全時員工,為一般行政事務員,導致平均員工薪資水準較同業低."
紡織纖維,4420,光明,65077000,100,651000,492000,608000,467000,2.04,657000,1.07,,V,,"110年稅後淨利排除業外金融資產利益後的淨利為60,031仟元,EPS僅為1.48,雖本公司薪資水準低於同業,但僅略低14仟元,已相當接近；本公司110年調薪幅度達1.6%~13.9%,亦調高新進員工平均起薪,相信未來會和同業趨近."
其他,4430,耀億,169342000,321,528000,513000,476000,467000,0.75,709000,2.73,,,,
紡織纖維,4432,銘旺實,52610000,64,822000,785000,710000,686000,-2.04,657000,1.07,,,,
紡織纖維,4433,興采,177868000,280,635000,618000,542000,521000,1.21,657000,1.07,,V,,110年度較109年度現場外籍員工人數增加約37%，致平均薪資拉低。
電機機械,4502,健信,102891000,183,562000,533000,541000,502000,-2.87,657000,2.01,,,,
電機機械,4503,金雨,41902000,98,428000,406000,383000,369000,-0.85,657000,2.01,V,,,本公司依據區域性薪資行情給付員工薪資，一切符合勞基法規定，且已著手逐步調整薪資架構，以提升產業競爭力。
電機機械,4506,崇友,960180000,1131,849000,832000,839000,823000,4.39,657000,2.01,,,,
電機機械,4510,高鋒,196745000,320,615000,544000,604000,511000,-0.33,657000,2.01,,,,
電機機械,4513,福裕,93190000,159,586000,522000,559000,504000,0.44,657000,2.01,,,,
電機機械,4523,永彰,128788000,229,562000,625000,580000,561000,-0.22,657000,2.01,,,V,1.依「薪資管理辦法」，按工作性質及所需技能等給予經常性薪資。2.依「員工考績評核辦法」，考量營運狀況及同業支給水準等進行年終獎金分配及調薪。3.員工酬勞分配依據公司章程規定。
電機機械,4527,方方土霖,120982000,172,703000,732000,634000,671000,1.98,657000,2.01,,,,
電機機械,4528,江興鍛,150460000,216,697000,540000,624000,504000,2.37,657000,2.01,,,,
其他,4529,淳紳,11760000,16,735000,808000,600000,753000,-6.09,709000,2.73,,,,
電機機械,4530,宏易,1062000,2,531000,500000,531000,500000,-0.47,657000,2.01,,,,
電機機械,4533,協易機,196660000,287,685000,645000,627000,587000,0.36,657000,2.01,,,,
電機機械,4534,慶騰,83204000,152,547000,511000,540000,495000,0.59,657000,2.01,,,,
電機機械,4535,至興,190085000,346,549000,477000,508000,446000,2.4,657000,2.01,,V,,110年個體稅後淨利較109年成長75.81%，使非擔任主管職務之全時員工人均成長15%，因其中外籍移工佔22%，致影響人均薪資較低，且本公司位於中部地區依照中部之薪資水準尚屬合理。
電機機械,4538,大詠城,70003000,105,667000,485000,612000,431000,0.76,657000,2.01,,,,
其他,4541,晟田,292845000,467,627000,517000,547000,444000,0.0,709000,2.73,,,,
電子零組件業,4542,科嶠,55331000,74,748000,601000,690000,566000,1.11,730000,2.59,,,,
電機機械,4543,萬在,143527000,296,485000,453000,456000,416000,0.53,657000,2.01,V,,,本公司外籍勞工人數比例佔員工人數約23.6%，故平均員工薪資費用尚屬合理。
電機機械,4549,桓達,142556000,233,612000,578000,531000,503000,6.27,657000,2.01,,V,,本公司產品為客製化，少量多樣，故面對不同產業須投入更多人力提供售前服務，110年度EPS高於同業主要為產業特性所致。本公司外籍勞工人數比例佔員工人數約12%，故拉低平均薪資。
電機機械,4550,長佳,56498000,71,796000,811000,727000,733000,1.41,657000,2.01,,,,
其他電子業,4554,橙的,69824000,106,659000,587000,565000,502000,2.0,844000,3.68,,,,
其他,4556,旭然,69786000,120,582000,589000,482000,457000,0.3,709000,2.73,,,,
電機機械,4558,寶緯,206486000,312,662000,0,528000,0,4.55,657000,2.01,,,,
電機機械,4561,健椿,109036000,178,613000,507000,597000,477000,2.49,657000,2.01,,V,,健椿110年營業收入較109年提高46%，110年稅後淨利較109年提高71%，估列之110年員工酬勞較109年提高100%，員工獎酬提高超過營業收入與稅後淨利，惟目前僅經111/03/24董事會通過，尚未經股東會通過。
電機機械,4563,百德,112623000,142,793000,732000,751000,711000,-3.36,657000,2.01,,,,
電機機械,4568,科際精密,34401000,39,882000,841000,885000,848000,5.03,657000,2.01,,,,
電機機械,4580,捷流閥業,251257000,293,858000,853000,760000,719000,8.04,657000,2.01,,,,
電器電纜,4609,唐鋒,12724000,17,748000,751000,774000,861000,-0.39,727000,0.96,,,V,公司110年EPS(0.39)雖較109年EPS(1.06)為好，但仍是處於虧損狀況，又因疫情影響，公司於110年8月裁撤研發部門，因此110年非經理人之全時員工平均數較109年下降。
化學工業,4702,中美實,12687000,18,705000,672000,690000,586000,1.15,740000,1.94,,,,
化學工業,4706,大恭,173364000,212,818000,716000,788000,694000,1.13,740000,1.94,,,,
化學工業,4707,磐亞,76956000,101,762000,713000,689000,657000,1.05,740000,1.94,,,,
化學工業,4711,永純,56251000,82,686000,610000,634000,575000,1.27,740000,1.94,,,,
食品工業,4712,南璋,3654000,8,457000,552000,430000,496000,-1.61,672000,3.08,V,,,"8位員工中,僅4人年資未滿一年，故平均薪資未達50萬"
化學工業,4714,永捷,31335000,52,603000,591000,557000,521000,0.28,740000,1.94,,,,
化學工業,4716,大立,50831000,84,605000,586000,557000,537000,3.55,740000,1.94,,V,,係因該年度業外收入認列土地處分利益約3.2億元導致EPS大幅高於歷年度水準。此屬非常態性交易，若排除此因素則本公司110年EPS應與歷年平均數差異不大。
化學工業,4721,美琪瑪,30984000,45,689000,742000,593000,601000,4.81,740000,1.94,,V,V,"主要因110年度獲利大部份在111年春節發放, 故未反映在110年度"
生技醫療業,4726,永昕,247483000,299,828000,822000,718000,729000,-0.61,714000,1.39,,,,
生技醫療業,4728,雙美,49165000,76,647000,670000,539000,582000,4.51,714000,1.39,,V,V,產能利用率提高，擴充直接人力，此類人員薪資略低流動率高，故平均薪資較前一年低。業態屬醫材製造(非技術開發)，直接人工占超過50%，同前因，致平均薪資低於同業；公司近年已執行調薪，將持續將獲利回饋員工。
光電業,4729,熒茂,176019000,329,535000,459000,498000,405000,-1.26,818000,1.87,,,,
生技醫療業,4735,豪展,55025000,90,611000,805000,470000,489000,8.65,714000,1.39,,V,,因應新增訂單，產線作業人員增加，此部分增加人員薪資為基本工資，造成員工薪資平均數下降。
生技醫療業,4736,泰博,617791000,944,654000,605000,535000,495000,21.35,714000,1.39,,V,,本公司給薪標準係參酌市場薪資水準，本國勞工每年調薪約3%。若本公司非擔任主管職務之全時員工薪資總額低於同業，主要係因本公司為製造業，領取基本工資之外籍勞工約佔員工人數15%所致。
化學工業,4741,泓瀚,81821000,158,518000,505000,432000,416000,0.9,740000,1.94,,,,
生技醫療業,4743,合一,106070000,112,947000,868000,685000,638000,-1.06,714000,1.39,,,,
生技醫療業,4744,皇將,81968000,175,468000,457000,453000,433000,1.71,714000,1.39,V,V,,由於直接人工與間接行政平均年資偏低且佔比人數高，因而降低整體平均薪資。
生技醫療業,4747,強生,86899000,146,595000,581000,542000,514000,1.64,714000,1.39,,V,,本公司為學名藥製造廠，獲利穩定，且因員工多為工廠生產作業人員，故與同業之平均薪資略有差異。
化學工業,4754,國碳科,44770000,65,689000,795000,361000,655000,2.4,740000,1.94,,V,,公司非經理人全時員工(年度)薪資平均數低於同業水準說明如下：1.110年增補10位員工為年資較短的基層員工。2.因施工工程需要聘請約聘人員及兼職打工人員有10位人員。以上合理性說明
其他電子業,4760,勤凱科技,44217000,76,582000,510000,453000,413000,6.7,844000,3.68,,V,,110年度平均薪資調幅約3%-6%，員工酬勞及年終獎金發放金額亦隨獲利增加而調升，員工酬勞較109年度增加約 70 %，本公司隨著經營績效提升亦調增員工薪酬，調增的幅度適當合理。
化學工業,4767,誠泰科技,51449000,61,843000,751000,739000,683000,2.84,740000,1.94,,,,
化學工業,4768,晶呈科技,31568000,44,717000,0,555000,0,2.15,740000,1.94,,V,,隨公司成長，新進員工較多，年資未滿一年者，約占二成，因而影響年度薪資平均數計算。
文化創意業,4806,昇華,3731000,9,415000,378000,421000,316000,-4.13,1063000,5.55,V,,,"影視產業近年整體產業景氣不佳，本公司110年度因公司虧損,故人員縮編,但110年度有進行員工調薪,員工平均薪資較109年度增加，以上說明。"
通信網路業,4903,聯光通,65251000,115,567000,556000,509000,513000,-0.35,831000,1.69,,,,
通信網路業,4905,台聯電,20408000,31,658000,534000,502000,547000,1.49,831000,1.69,,,,
建材營造,4907,富宇,13790000,15,919000,847000,752000,727000,1.75,904000,2.05,,,,
通信網路業,4908,前鼎,175700000,253,694000,636000,548000,497000,1.86,831000,1.69,,V,,本公司產品生產製造皆在臺灣，直接人員占比達5成多(含外籍移工)，致薪資平均數低於同業水準。
通信網路業,4909,新復興,85925000,186,462000,435000,450000,417000,-1.26,831000,1.69,V,,,1.因產業特性及地屬偏鄉，作業人員相對偏多且外籍員工占直接員工的比率為30%，故拉低整體水準2.因近2年來公司營收減少且稅前虧損，無員工酬勞因此造成整體薪資金額較低
生技醫療業,4911,德英,7701000,18,428000,427000,430000,424000,-0.36,714000,1.39,V,,,新藥臨床試驗費用高，營業收入不敷試驗等相關支出致EPS虧損，除穩健經營外，亦生產肝藥、食品及保養品掖助營運費用，所以EPS較其他新藥開發公司虧損少，薪資依個人表現調整，整體調整須視公司獲利情形而定。
半導體業,4923,力士,35952000,44,817000,0,782000,0,5.73,1309000,7.6,,,,
電腦及週邊設備業,4931,新盛力,149030000,266,560000,556000,448000,443000,-0.63,827000,5.12,,,,
光電業,4933,友輝,332920000,508,655000,614000,597000,527000,3.66,818000,1.87,,V,,1/各家資本結構不一，無法實質類比。2/員工薪酬以遵循法規，在健全財務及維護股東權益下，每年皆有定期提出檢討及調整。3/尚有其他不屬薪資之獎酬，因欄位格式限制無法呈現。
電子零組件業,4939,亞電,21756000,14,1554000,1106000,1631000,1166000,1.76,730000,2.59,,,,
光電業,4944,兆遠,80401000,126,638000,606000,567000,523000,-3.57,818000,1.87,,,,
半導體業,4945,陞達科技,52016000,42,1238000,1087000,1137000,1052000,3.51,1309000,7.6,,,,
文化創意業,4946,辣椒,28454000,45,632000,609000,596000,574000,1.79,1063000,5.55,,,,
其他,4950,牧東,7487000,10,749000,701000,549000,701000,0.49,709000,2.73,,,,
資訊服務業,4953,緯軟,716096000,833,860000,844000,778000,763000,6.91,896000,3.02,,V,,本公司110年度人數較109年成長，新人年資未足年的比重較高，影響年度平均薪資；惟本公司110年平均薪資自108年資訊揭露以來，每年持續成長。
光電業,4972,湯石照明,29905000,34,880000,798000,808000,726000,2.51,818000,1.87,,,,
半導體業,4973,廣穎電通,182332000,272,670000,702000,512000,527000,0.35,1309000,7.6,,,,
電子零組件業,4974,亞泰,71432000,43,1661000,1597000,1481000,1452000,5.87,730000,2.59,,,,
通信網路業,4979,華星光,258443000,460,562000,541000,469000,464000,-2.22,831000,1.69,,,,
電腦及週邊設備業,4987,科誠,122772000,197,623000,516000,520000,429000,4.61,827000,5.12,,,,
光電業,4995,晶達,115963000,165,703000,675000,608000,589000,2.68,818000,1.87,,V,,1.本公司110年度薪資平均調幅約1.5%。2.生產線全部位於台灣，直接員工人數佔比25%，且有3成為外籍員工，員工結構偏屬製造業，故薪資平均數略低。
鋼鐵工業,5009,榮剛,662356000,888,746000,581000,723000,556000,1.7,857000,3.17,,,,
鋼鐵工業,5011,久陽,97168000,154,631000,528000,619000,498000,1.74,857000,3.17,,,,
鋼鐵工業,5013,強新,346858000,424,818000,627000,804000,614000,4.41,857000,3.17,,V,,本公司非擔任主管職之全時員工人數，110年度較109年度增加13人。本籍減16人、外籍增29人(科技業用人需求排擠效應，傳產招工困難)。因外籍人員占比增加，而拉低員工薪資平均數與中位數。
鋼鐵工業,5014,建錩,47202000,57,828000,645000,644000,510000,3.14,857000,3.17,,,,
鋼鐵工業,5015,華祺,109066000,162,673000,579000,622000,526000,4.1,857000,3.17,,V,,司非擔任主管職務之全時員工162人中，有51人為外籍基層員工，占非擔任主管職務之全時員工之31%，其薪資為基本工資加上加班費，本就偏低，致拉低全公司平均薪資。
鋼鐵工業,5016,松和,244493000,300,815000,705000,768000,663000,4.75,857000,3.17,,V,,"本公司110年因全球疫情影響，進口原料時程延遲,且鋼價時續攀升使得取得成本具有優勢,獲利優於同業,未全數反應在員工薪資的原因是本公司政策維持穩定薪資,員工薪資不致因公司獲利情況大幅波動"
橡膠工業,5102,富強,83525000,153,546000,523000,504000,484000,0.99,546000,0.99,,,,
資訊服務業,5201,凱衛,111267000,133,837000,875000,736000,774000,1.56,896000,3.02,,,,
資訊服務業,5202,力新,58275000,63,925000,852000,789000,687000,-0.32,896000,3.02,,,,
其他電子業,5205,中茂,1076000,3,359000,449000,331000,317000,-1.69,844000,3.68,V,,,本公司近年因業務調整，公司處於虧損狀態。為求公司永續經營，近幾年各項費用嚴格管控。後續將視經營績效，在公司永續經營的前提下，合理將經營成果分享予全體股東及員工。
建材營造,5206,坤悅,20636000,25,825000,813000,762000,737000,0.54,904000,2.05,,,,
其他,5209,新鼎,202226000,195,1037000,988000,947000,877000,10.02,709000,2.73,,,,
資訊服務業,5210,寶碩,96515000,132,731000,700000,651000,648000,-0.37,896000,3.02,,,,
資訊服務業,5211,蒙恬,48159000,52,926000,862000,806000,746000,1.48,896000,3.02,,,,
資訊服務業,5212,凌網,314760000,338,931000,905000,826000,801000,2.68,896000,3.02,,,,
建材營造,5213,亞昕,59649000,63,947000,1114000,883000,797000,0.73,904000,2.05,,,,
光電業,5220,萬達光電,162317000,292,556000,562000,480000,487000,3.43,818000,1.87,,V,,"1.員工中約七成屬直接人工,員工結構中大部分屬基層勞工,拉低平均薪資。110年較109年小幅減少係因110年獲利較109年降低。2.章程規定有獲利時提撥不低於5%為員工酬勞,讓經營績效與員工薪酬產生正向關聯。"
光電業,5230,雷笛克光學,58726000,81,725000,780000,571000,566000,1.28,818000,1.87,,,V,EPS較前一年度成長惟非經理人全時員工薪資平均數衰退，除因部分人員異動，增聘新進人員致整體平均薪資減少，此外，申報之薪資平均數係以實際發放數為基準，與EPS成長之帳上估列獎金數有發放時間性差異。
半導體業,5236,凌陽創新,298078000,121,2463000,0,2084000,0,11.83,1309000,7.6,,,,
光電業,5245,智晶,175594000,261,673000,612000,580000,499000,4.47,818000,1.87,,V,,本公司提供的薪酬符合法令要求，因本公司員工平均服務年資及平均年齡低於同業，致EPS高於同業平均數惟非經理人全時員工薪資平均數低於同業水準者。
光電業,5251,天鉞電,14215000,16,888000,771000,782000,798000,-2.32,818000,1.87,,,,
文化創意業,5263,智崴,209815000,255,823000,782000,750000,716000,-2.31,1063000,5.55,,,,
半導體業,5272,笙科,105932000,91,1164000,1093000,1047000,983000,0.96,1309000,7.6,,,,
半導體業,5274,信驊,234940000,83,2831000,2361000,2454000,1980000,38.3,1309000,7.6,,,,
電子商務,5278,尚凡,52740000,40,1319000,1090000,1115000,962000,16.52,702000,4.08,,,,
電子商務,5287,數字,124965000,160,781000,744000,712000,671000,12.13,702000,4.08,,,,
電腦及週邊設備業,5289,宜鼎,521746000,575,907000,862000,701000,651000,18.94,827000,5.12,,,,
電子零組件業,5291,邑昇,185841000,295,630000,540000,545000,476000,4.18,730000,2.59,,V,,本公司屬傳統勞力密集產業，主要生產僅在台灣；基層作業人員比重較高，以致非主管全時員工薪資平均數低於同業水準。
半導體業,5299,杰力,267533000,74,3615000,1476000,3142000,1301000,17.68,1309000,7.6,,,,
觀光事業,5301,寶得利,13822000,27,512000,567000,470000,540000,-2.09,504000,-0.83,,,V,因主要業務(營收)由觀光產業改為餐飲業，其所需之人員專業度也不相同，故影響薪資平均數。
半導體業,5302,太欣,30804000,32,963000,968000,964000,981000,-0.27,1309000,7.6,,,V,本公司110年非經理人之全時員工薪資平均數(新台幣)963仟元，較109年度之9685仟元減少5仟元，主要係110年度之全時員工人數較109年年減少3人所致，且為尚無重大差異之情事
電子零組件業,5309,系統電,215290000,292,737000,681000,547000,526000,0.62,730000,2.59,,,,
資訊服務業,5310,天剛,4917000,9,546000,696000,601000,543000,-1.22,896000,3.02,,,V,"主要係因109年度支付員工資遣費用,致薪資平均數較110年度高。"
生技醫療業,5312,寶島科,556747000,811,686000,698000,587000,597000,4.83,714000,1.39,,V,,本公司雖屬生技產業，但因為沒有從事製造及研發，僅進行通路銷售，所以本公司大多數員工係為基礎門市銷售人員，非一般生技公司的高端技術研發人員，導致本公司員工平均薪資略低於生技產業平均薪資。
半導體業,5314,世紀,5774000,10,577000,853000,566000,836000,-0.5,1309000,7.6,,,V,本公司110年7月因經營權異動，人員更替，造成非經理人之全時員工薪資平均數較前一年度減少。
光電業,5315,光聯,257786000,513,503000,490000,443000,426000,1.74,818000,1.87,,,,
電子商務,5321,美而快,23452000,39,601000,844000,479000,528000,3.11,702000,4.08,,,V,1.本公司電子商務之營業收入達75%，但仍歸屬於電子零組件類，產業比較基礎不同。2.本年度因組織扁平化及人員升遷制度，基層幹部升任主管職，故主管職人數大幅增加，導致非主管職平均薪資降低。
建材營造,5324,士開,36421000,33,1104000,979000,1085000,865000,-0.64,904000,2.05,,,,
電子零組件業,5328,華容,16245000,24,677000,599000,632000,510000,0.2,730000,2.59,,,,
電子零組件業,5340,建榮,187549000,321,584000,554000,525000,500000,0.27,730000,2.59,,,,
半導體業,5344,立衛,113393000,190,597000,552000,526000,486000,0.76,1309000,7.6,,,,
其他,5345,天揚,24422000,29,842000,782000,637000,705000,-0.35,709000,2.73,,,,
半導體業,5347,世界,8739127000,4915,1778000,1353000,1184000,995000,7.21,1309000,7.6,,,,
通信網路業,5348,系通,26845000,41,655000,683000,594000,672000,-0.53,831000,1.69,,,V,主係110年度離職員工恰巧係屬年資及薪資較高者，新進員工之薪資水準較低，以致本年度員工中位數及平均數均下降。
半導體業,5351,鈺創,421481000,247,1706000,1056000,1412000,959000,3.91,1309000,7.6,,,,
通信網路業,5353,台林,240539000,347,693000,656000,609000,575000,1.01,831000,1.69,,,,
電子零組件業,5355,佳總,173527000,348,499000,470000,475000,436000,-0.67,730000,2.59,V,,,1.因產業特性，作業人員及外籍員工占全公司員工的比率為76%，故拉低整體水準。2.因近年來公司虧損，無額外季獎金、績效獎金及員工酬勞。
電腦及週邊設備業,5356,協益,182834000,361,506000,501000,437000,441000,-0.28,827000,5.12,,,,
觀光事業,5364,力麗店,35762000,78,458000,500000,374000,418000,-2.49,504000,-0.83,V,,,本產業多為低技術、低門檻、替代性高之工作，故薪資接近基本工資。又組織結構扁平，多以基層主管做管理，中高階人數少，整體平均薪資偏低。再則2021年covid-19疫情，影響國內外來客數，營收減少，實施減班休息所致。
光電業,5371,中光電,1855472000,1557,1192000,1158000,1131000,1072000,5.12,818000,1.87,,,,
電子零組件業,5381,合正,27158000,44,617000,528000,550000,445000,0.07,730000,2.59,,,,
其他電子業,5383,金利,136184000,257,530000,498000,499000,446000,0.33,844000,3.68,,,,
電腦及週邊設備業,5386,青雲,22011000,27,815000,665000,699000,610000,2.36,827000,5.12,,,,
光電業,5392,能率,7337000,11,667000,677000,662000,578000,0.35,818000,1.87,,,V,本年度員工人數較前一年度減少，因離職人員年資較久薪資較高，新進員工起薪略低以致員工薪資平均數較前一年度略為減少。
其他,5398,慕康生醫,28807000,40,720000,722000,635000,627000,0.33,709000,2.73,,,,
資訊服務業,5403,中菲,415711000,343,1212000,1133000,1009000,981000,5.88,896000,3.02,,,,
資訊服務業,5410,國眾,234310000,335,699000,670000,640000,606000,2.14,896000,3.02,,,,
半導體業,5425,台半,342340000,502,682000,677000,541000,521000,3.55,1309000,7.6,,,,
電腦及週邊設備業,5426,振發,181570000,314,578000,592000,516000,526000,-0.62,827000,5.12,,,,
光電業,5432,新門,7981000,17,469000,483000,437000,433000,0.32,818000,1.87,V,,V,"本公司因產線作業員占全體員工比達41.2% 因而拉低平均員工薪資, 使薪資平均數未達50萬元.  另薪資平均數較前一年度減少係因高薪資人員離職所致."
電腦及週邊設備業,5438,東友,118064000,113,1045000,1100000,918000,885000,0.51,827000,5.12,,,V,因110年度設置生產線，增加產線作業人員；作業員薪資偏低，以致平均薪資衰退
電子零組件業,5439,高技,418106000,543,770000,697000,663000,602000,4.61,730000,2.59,,,,
光電業,5443,均豪,407897000,391,1043000,997000,957000,899000,1.54,818000,1.87,,,,
其他,5450,南良,362819000,493,736000,626000,603000,510000,1.23,709000,2.73,,,,
其他電子業,5452,佶優,42321000,29,1459000,826000,1183000,719000,1.6,844000,3.68,,,,
建材營造,5455,昇益,13768000,11,1252000,1270000,997000,1025000,-0.09,904000,2.05,,,V,"本公司110年度非擔任主管職之全時員工平均薪資1,252仟元，較109年度平均薪資1,270仟元，減少18仟元，減少幅度約1.42%，並無顯著減少，其中減少係因部分資深員工於110年度離職，而新進同仁年資及平均薪資較低所致。"
電子零組件業,5457,宣德,252361000,395,639000,630000,602000,559000,5.11,730000,2.59,,V,,"本公司非經理人之全時員工(年度)薪資平均已較去年增加,就公司經營績效與全時員工薪資平均數尚屬合理"
電子零組件業,5460,同協,68585000,102,672000,713000,579000,594000,0.01,730000,2.59,,,,
電子零組件業,5464,霖宏,166478000,369,451000,400000,420000,378000,4.81,730000,2.59,V,V,,本公司藍領外籍工人佔全體員工四分之一，外籍工薪資依契約核給工資，不計其他津貼項目，致全體薪資平均數未達50萬元。110年因出售不動產使EPS獲利表現較同業為佳，非本業獲利所致，且因受成本上漲影響，本業為負值。
電腦及週邊設備業,5465,富驊,24978000,23,1086000,920000,987000,895000,1.27,827000,5.12,,,,
半導體業,5468,凱鈺,7744000,9,860000,851000,799000,947000,0.19,1309000,7.6,,,,
電腦及週邊設備業,5474,聰泰,164985000,126,1309000,1270000,1079000,1036000,9.66,827000,5.12,,,,
電子零組件業,5475,德宏,4900000,11,445000,494000,444000,437000,3.73,730000,2.59,V,V,V,德宏109年初曾大量資遣資深員工，而110年度新進員工起薪較低，且受惠大陸子公司蘇州德宏110年度業績大好，故德宏公司110年度EPS較前一年度成長，惟非經理人全時員工薪資平均數衰退
文化創意業,5478,智冠,338201000,385,878000,911000,757000,767000,6.84,1063000,5.55,,V,,110年EPS獲利雖較同業為佳，但低於109年，仍維持年度調薪與獎金發放。110年調升員工擔任經理人，新進及離職人員增加，故平均數較109年減少。主要據點分北、高兩區，兩區合併與一區產業相比，不一定具關聯性。
其他,5481,新華,5706000,7,815000,938000,802000,585000,1.81,709000,2.73,,,,
半導體業,5483,中美晶,792754000,609,1302000,1128000,1243000,1163000,11.62,1309000,7.6,,V,,本公司110年無論是EPS獲利表現或員工薪資-平均數，相較於109年，都是成長的。
半導體業,5487,通泰,51058000,45,1135000,1078000,1077000,1029000,2.02,1309000,7.6,,,,
電子零組件業,5488,松普,37400000,66,567000,535000,550000,481000,0.08,730000,2.59,,,,
其他電子業,5489,彩富,297532000,339,878000,674000,649000,588000,1.25,844000,3.68,,,,
電腦及週邊設備業,5490,同亨,137903000,140,985000,1129000,905000,1047000,1.41,827000,5.12,,,,
其他電子業,5493,三聯,62384000,66,945000,878000,899000,832000,4.65,844000,3.68,,,,
電子零組件業,5498,凱崴,72789000,129,564000,561000,536000,513000,0.18,730000,2.59,,,,
建材營造,5508,永信建,39736000,32,1242000,1180000,1191000,1110000,8.9,904000,2.05,,,,
建材營造,5511,德昌,232850000,264,882000,835000,634000,647000,4.15,904000,2.05,,V,,110年新進員工多為無經驗之基層人員，故平均薪資略低於同業水準。
建材營造,5512,力麒,33995000,38,895000,796000,856000,802000,0.42,904000,2.05,,,,
建材營造,5514,三豐,10645000,12,887000,885000,820000,851000,-0.04,904000,2.05,,,,
建材營造,5516,雙喜,107453000,163,659000,751000,537000,640000,2.91,904000,2.05,,V,,本公司110年外籍勞工佔全時員工35%故壓低薪資平均數。
建材營造,5520,力泰,144879000,133,1089000,1105000,1076000,1039000,5.56,904000,2.05,,,V,"1. 110年度員工人數新增數十位,由於新進員工因此降低了總平均數.2.本公司的司機報酬係以趟次、里程、時段來計價,因逢疫情關係,出車次數減少,故所得變少."
建材營造,5523,豐謙,10863000,13,836000,516000,694000,561000,5.91,904000,2.05,,V,,1、主要係業外收入EPS1.57元及出售營建用地約EPS1.85元，本業EPS約計2.49元，與同業水準相當。2、員工薪資均依薪資辦法執行，員工年度績效佳者，均會反映在年度調薪上，另年獎額外加分並獎勵。
建材營造,5529,鉅陞,14869000,15,991000,610000,572000,560000,-1.03,904000,2.05,,,,
其他,5530,龍巖,424777000,464,915000,848000,749000,698000,3.36,709000,2.73,,,,
其他電子業,5536,聖暉,329252000,277,1189000,1244000,998000,1015000,21.08,844000,3.68,,,V,因業務需求持續擴充服務量能，需補進大量新進人力並以基礎工程師為主，致平均薪資較前一年度減少。
航運業,5601,台聯櫃,5093000,7,728000,721000,661000,663000,0.28,961000,7.79,,,,
航運業,5603,陸海,237250000,253,938000,715000,903000,692000,9.2,961000,7.79,,V,,員工薪酬：本公司除依公司章程規定提列員工酬勞外，每月提撥16%~21%，每季或年底，再依營運績效及財務狀況檢討是否調整，核發方式則依各部門績效及員工考績，作為核發的主要依據。
其他,5604,中連,2647000,4,662000,611000,663000,718000,6.75,709000,2.73,,V,,"110年EPS6.75元,其中處分不動產利益影響EPS5.8元,因處分不動產為非經常性行為,若扣除該處分影響,110年EPS僅0.95元.109年本公司員工均薪611千元,110年為662千元,增加8%.薪資水準應符合一般標準"
航運業,5609,中菲行,184922000,160,1156000,928000,821000,704000,16.98,961000,7.79,,,,
