industry,company_code,company_name,company_total_salary,company_employee_count,company_110average_salary,company_109average_salary,company_110median_salary,company_109median_salary,company_eps,industry_average_salary,industry_average_eps,is_under_50w,high_eps_low_salary,growth_but_low_salary,low_salary_reason
電腦及週邊設備業,3272,東碩,163412000,263,621000,804000,549000,734000,0.58,827000,5.12,,,,
電子零組件業,3276,宇環,4168000,3,1389000,1108000,1409000,1124000,1.18,730000,2.59,,,,
其他,3284,太普高,52390000,101,519000,496000,471000,451000,-0.86,709000,2.73,,,,
其他電子業,3285,微端,31022000,51,608000,660000,538000,592000,-0.02,844000,3.68,,,,
電腦及週邊設備業,3287,廣寰科,6891000,10,689000,662000,543000,590000,1.14,827000,5.12,,,,
電子零組件業,3288,點晶,12855000,15,857000,792000,451000,545000,-1.48,730000,2.59,,,,
其他電子業,3289,宜特,699984000,777,901000,841000,814000,770000,2.02,844000,3.68,,,,
電子零組件業,3290,東浦,34972000,52,673000,671000,519000,550000,0.77,730000,2.59,,,,
文化創意業,3293,鈊象,2359473000,988,2388000,1747000,1924000,1435000,67.21,1063000,5.55,,,,
電子零組件業,3294,英濟,240650000,273,882000,941000,702000,772000,0.18,730000,2.59,,,,
光電業,3297,杭特,78965000,136,581000,551000,491000,487000,-0.42,818000,1.87,,,,
其他電子業,3303,岱稜,321891000,439,733000,694000,659000,599000,1.61,844000,3.68,,,,
通信網路業,3306,鼎天,109672000,105,1044000,941000,890000,828000,1.05,831000,1.69,,,,
電子零組件業,3310,佳穎,54523000,88,620000,542000,531000,458000,1.33,730000,2.59,,,,
其他,3313,斐成,2948000,6,491000,610000,478000,495000,0.42,709000,2.73,V,,V,非經理人之全時員工薪資平均數未達50萬，因實際平均人數為5.5若以5.5計算平均數為53.6萬EPS成長惟非經理人之全時員工薪資平均數較前一年度減少，因EPS增加乃業外收入增加，與本業無關故未反映調整員工薪資
半導體業,3317,尼克森,185304000,126,1471000,1117000,1084000,910000,5.78,1309000,7.6,,,,
電子零組件業,3322,建舜電,55700000,57,977000,892000,860000,775000,1.85,730000,2.59,,,,
電腦及週邊設備業,3323,加百裕,233229000,319,731000,698000,515000,545000,3.16,827000,5.12,,,,
其他電子業,3324,雙鴻,170213000,148,1150000,1053000,1075000,947000,13.12,844000,3.68,,,,
電腦及週邊設備業,3325,旭品,22002000,27,815000,586000,755000,533000,-0.7,827000,5.12,,,,
電子零組件業,3332,幸康,183635000,273,673000,628000,560000,531000,2.2,730000,2.59,,,,
光電業,3339,泰谷,109290000,202,541000,513000,461000,447000,1.77,818000,1.87,,,,
電腦及週邊設備業,3349,寶德,40113000,47,853000,0,774000,0,1.77,827000,5.12,,,,
電子零組件業,3354,律勝,37893000,64,592000,522000,471000,462000,-0.74,730000,2.59,,,,
電子零組件業,3357,臺慶科,408440000,445,918000,746000,788000,647000,12.08,730000,2.59,,,,
電子通路業,3360,尚立,56724000,56,1013000,1015000,922000,962000,1.45,774000,1.27,,,V,"110年度平均薪資1,012,935元較109年度1,015,134元，減少2,199元，主要為110年元月新進人員6人平均年薪較低。另比較二年度皆有統計在內之員工(計48人)之平均年薪，110年度較109年度增加12,052元。"
光電業,3362,先進光,321905000,578,557000,521000,487000,467000,0.03,818000,1.87,,,,
通信網路業,3363,上詮,165154000,275,601000,561000,466000,429000,2.31,831000,1.69,,V,,"1.本公司產品客製化程度高,屬少量多樣產業特性，超過六成為直接作業員(包含外籍移工),因而相對拉低員工平均薪資。2.本公司110年度公司營收及獲利成長,已適度反映於111年度員工薪資調整,公司將持續優化員工薪酬。"
半導體業,3372,典範,339438000,492,690000,535000,595000,469000,2.39,1309000,7.6,,,,
其他電子業,3373,熱映,43510000,74,588000,1359000,537000,1171000,2.6,844000,3.68,,,,
半導體業,3374,精材,1440266000,1542,934000,903000,679000,669000,6.92,1309000,7.6,,,,
電機機械,3379,彬台,48582000,63,771000,695000,715000,647000,0.27,657000,2.01,,,,
電子零組件業,3388,崇越電,136006000,97,1402000,1243000,1318000,1201000,8.04,730000,2.59,,,,
電子零組件業,3390,旭軟,148460000,290,512000,468000,464000,420000,0.48,730000,2.59,,,,
其他電子業,3402,漢科,322037000,397,811000,736000,671000,623000,3.93,844000,3.68,,V,,110年新進人員偏多，任職期間較短，全年度薪資總額相對較少，但110年全時員工薪資平均數增加10%，全時員工薪資中位數增加 7.7%，薪資水準較前一年度增加，尚屬合理範圍。
電機機械,3426,台興,29322000,49,598000,586000,487000,504000,2.48,657000,2.01,,V,,1. 110年員工49人，其中本外籍作業員占40%，其薪資水準接近基本工資，故整體薪資較同業為低。2. 111年5月進行薪資調整，調薪幅度為3%。
光電業,3434,哲固,65323000,104,628000,591000,562000,525000,0.82,818000,1.87,,,,
半導體業,3438,類比科,237637000,136,1747000,1394000,1544000,1204000,5.14,1309000,7.6,,,,
光電業,3441,聯一光電,9305000,16,582000,501000,577000,505000,0.63,818000,1.87,,,,
電子通路業,3444,利機,49823000,47,1060000,1008000,915000,958000,3.44,774000,1.27,,,,
光電業,3455,由田,343936000,284,1211000,944000,1013000,843000,7.5,818000,1.87,,,,
電子零組件業,3465,進泰電子,25041000,20,1252000,796000,900000,589000,16.36,730000,2.59,,,,
通信網路業,3466,致振,25185000,34,741000,748000,702000,669000,-1.31,831000,1.69,,,V,"110年度EPS 較109 年度成長是由於109 年度提列商譽減損約81,166千元,全時員工薪資平均數減少是110年度較109 年度分發之獎金減少所致."
電腦及週邊設備業,3479,安勤,273030000,286,955000,832000,856000,764000,2.94,827000,5.12,,,,
電腦及週邊設備業,3483,力致,121341000,156,778000,732000,728000,682000,5.34,827000,5.12,,V,,公司持續改善員工薪酬
電子零組件業,3484,崧騰,211099000,190,1111000,886000,927000,762000,8.16,730000,2.59,,,,
建材營造,3489,森寶,20343000,23,884000,771000,824000,701000,0.57,904000,2.05,,,,
光電業,3490,單井,96631000,108,895000,831000,774000,761000,2.19,818000,1.87,,,,
通信網路業,3491,昇達科,159440000,224,712000,609000,623000,551000,3.81,831000,1.69,,V,,本公司屬少量多樣的產業特性，超過44%為工廠產線員工，且當中有19%為外籍移工，因而相對拉低員工平均薪資，且左開金額未包含非現金給付之獎酬，綜合而言，本公司非主管職員工之整體薪資福利應未低於同業平均。
電子零組件業,3492,長盛,34074000,42,811000,758000,776000,766000,0.5,730000,2.59,,,,
其他電子業,3498,陽程,243679000,307,794000,759000,718000,671000,0.27,844000,3.68,,,,
通信網路業,3499,環天科,75448000,139,543000,549000,468000,481000,-0.18,831000,1.69,,,V,"公司EPS雖較前一年度增加,但仍在虧損中,故並無大幅調薪,僅少數人員視工作績效調整,加上年終獎金平均較去年度少發0.2個月,致平均薪資較去年微幅減少約6000元"
其他電子業,3508,位速,68953000,105,657000,690000,517000,589000,-0.92,844000,3.68,,,V,110因新設生產線，招募大量新進員工，以致非經理全時員工薪資平均數衰退。
電子零組件業,3511,矽瑪,43145000,49,881000,949000,851000,824000,1.39,730000,2.59,,,V,"110年EPS較前一年度成長,主係併入同星,如果摒除併入同星因素，矽瑪個體110較109年成長6.93%，110年新進員工較109年增加18位(聘進年資較淺的員工, 故平均薪資較低)"
建材營造,3512,皇龍,26501000,25,1060000,801000,1055000,766000,3.79,904000,2.05,,,,
光電業,3516,亞帝歐,32093000,62,518000,503000,436000,427000,0.86,818000,1.87,,,,
電子零組件業,3520,華盈,12098000,18,672000,607000,586000,507000,0.13,730000,2.59,,,,
電腦及週邊設備業,3521,鴻翊,37109000,61,608000,665000,539000,579000,-1.68,827000,5.12,,,,
觀光事業,3522,御頂,177398000,368,482000,512000,435000,445000,-6.64,504000,-0.83,V,,,本公司自110年5月份升級為三級警戒後，實施減班減薪至10月份才陸續恢復正常上班，故110年度新資平均數未達50萬元。
光電業,3523,迎輝,51678000,89,581000,528000,535000,453000,-1.95,818000,1.87,,,,
電子零組件業,3526,凡甲,108761000,78,1394000,1329000,1227000,1106000,11.19,730000,2.59,,,,
半導體業,3527,聚積,423399000,220,1925000,1266000,1566000,1392000,12.69,1309000,7.6,,,,
半導體業,3529,力旺,631734000,252,2507000,2178000,2287000,1935000,14.78,1309000,7.6,,,,
光電業,3531,先益,75085000,95,790000,722000,662000,644000,1.38,818000,1.87,,,,
電子零組件業,3537,堡達,48922000,48,1019000,919000,921000,866000,3.97,730000,2.59,,,,
電腦及週邊設備業,3540,曜越,171918000,183,939000,1139000,793000,971000,3.05,827000,5.12,,,,
其他電子業,3541,西柏,274813000,347,792000,739000,648000,599000,3.38,844000,3.68,,,,
文化創意業,3546,宇峻,373286000,418,893000,830000,779000,741000,6.01,1063000,5.55,,V,,文創產業裡有不同類別公司，人力結構也不一樣，員工平均薪資不能全面衡量公司經營績效與員工薪酬的相關性。
電子零組件業,3548,兆利,278528000,480,580000,589000,493000,440000,4.12,730000,2.59,,V,,110年EPS4.12低於同業水準，且較109年EPS5.03衰退，故員工酬勞及年終獎金發放金額也減少。本年因業務所需，進用較多直間接新進人員，有些員工因任職不足月或請假過多影響年化薪資降低。
其他電子業,3551,世禾,468134000,675,694000,645000,588000,565000,7.16,844000,3.68,,V,,"世禾雇用27.41%外籍員工，影響平均薪資水準。依勞動部統計查詢網製造業統計資料計算，最近年度每人每月平均薪資為39,556元，而世禾每人每月平均薪資為57,794元，較台灣其他製造業經常薪資高，故屬合理範圍。"
其他電子業,3552,同致,184785000,298,620000,609000,506000,543000,5.44,844000,3.68,,V,,110年非經理人之全時員工薪資平均數低於同業水準，主要原因為直接員工占比高，影響整體員工平均薪資，且EPS含轉投資子公司之獲利。
